9694901 | Rhizobium | Heat | Phaseolus vulgaris | For example, co-inoculation of a common bean with Rhizobium tropici and two strains of Paenibacillus polymyxa more effectively increased nitrogen content and promoted plant growth than inoculation with Rhizobium only especially in drought conditions -REF-. | NO
10578444 | Phytophthora sojae | Cold | Glycine max | Responsiveness to various abiotic stresses like cold, drought and salt, as well as biotic stress like infection with the fungal pathogen Phytophthora sojae has been demonstrated by GLRs in soybean -REF-. | NO
11233480 | Foveavirus | Drought | Grapevine | For example, Foveavirus RNA virus Grapevine rupestris stem pitting associated virus GRSPaV infected grapevine had altered profile of miRNA involved in water stress compared to virus free plants Pantaleo et al. | NO
8875824 | Phytophthora cinnamomi | Salt | Quercus suber | Candidate stress-related genes were selected from the analysis of publicly available expression datasets obtained for cork oak tissues in response to abiotic drought, heat and cold, salt and biotic stress Phytophthora cinnamomi infection. | NO
10573068 | Botrytis cinerea | Salt | Arabidopsis thaliana | In Arabidopsis thaliana, overexpression of lectin-like protein kinase 1 AtLPK1 results in enhanced resistance to infection by the necrotrophic fungus Botrytis cinerea as well as improved seed germination and cotyledon greening under high salt stress, indicating that it is vital for both biotic and abiotic stress responses -REF-. | NO
7344409 | Pantoea agglomerans | Salt | Zea mays | Analysis of the gene expression of Pantoea agglomerans and Zea mays roots infected with Bacillus megaterium showed that the PIP2 and ZmPIP1-1 genes were up-regulated under saline stress conditions, helping to increase the values of hydraulic conductance in inoculated plants -REF-. | NO
7077179 | Caulimovirus | Drought | Brassica rapa | The dramatic influence of a water deficit applied to Brassica rapa infected source plants on the transmission efficiency of two unrelated virus species Cauliflower mosaic virus; CaMV; caulimovirus and Turnip mosaic virus; TuMV; potyvirus, transmitted in a non-circulative way by Miuraea persicae, was reported -REF-. | NO
7077179 | Miuraea persicae | Drought | Turnip | The dramatic influence of a water deficit applied to Brassica rapa infected source plants on the transmission efficiency of two unrelated virus species Cauliflower mosaic virus; CaMV; caulimovirus and Turnip mosaic virus; TuMV; potyvirus, transmitted in a non-circulative way by Miuraea persicae, was reported -REF-. | NO
7077179 | Miuraea persicae | Drought | Cauliflower | The dramatic influence of a water deficit applied to Brassica rapa infected source plants on the transmission efficiency of two unrelated virus species Cauliflower mosaic virus; CaMV; caulimovirus and Turnip mosaic virus; TuMV; potyvirus, transmitted in a non-circulative way by Miuraea persicae, was reported -REF-. | NO
7077179 | Caulimovirus | Drought | Cauliflower | The dramatic influence of a water deficit applied to Brassica rapa infected source plants on the transmission efficiency of two unrelated virus species Cauliflower mosaic virus; CaMV; caulimovirus and Turnip mosaic virus; TuMV; potyvirus, transmitted in a non-circulative way by Miuraea persicae, was reported -REF-. | NO
7077179 | Luteovirus | Drought | Turnip | In another study, when a water deficit was applied to Arabidopsis thaliana Col-0 infected with Turnip yellows virus TuYV, a phloem-restricted luteovirus, transmission efficiency was reduced by 50%, most probably through alteration of feeding behaviour of the vector -REF-. | NO
7077179 | Miuraea persicae | Drought | Arabis thaliana | Indeed, while TuYV within-host accumulation was not altered by drought, virus load was reduced drastically in Miuraea persicae vectors feeding on water-stressed TuYV-infected Arabis thaliana plants -REF-. | NO
7704454 | Botrytis cinerea | Salt | Arabidopsis | For instance, tomato and Arabidopsis grown under high salinity conditions displayed an increased susceptibility to infection with obligate biotrophic oomycete Phytophthora spp -REF-; -REF-, whereas tomato resistance toward infection with the necrotrophic fungus Botrytis cinerea was not affected under salt stress -REF-. | NO
7704454 | Botrytis | Drought | Arabidopsis | Conversely, drought-stressed tomato are less susceptible to Botrytis infection -REF-, whereas drought stress in Arabidopsis plants resulted in an increased Botrytis growth rate in an accession-dependent manner -REF-. | NO
7704454 | Alternaria brassicicola | Salt | Bernardia cinerea | We observed that plants pre-treated with salt, despite accumulating more SA after fungal infection, are more susceptible against both the hemibiotrophic bacterium Pto DC3000 and the necrotrophic fungi Bernardia cinerea and Alternaria brassicicola -REF-, making SA an unlikely cause for this phenotype. | NO
10747270 | Uredo maydis | Drought | Crinum graminicola | These are strongly accumulated after infection by Crinum graminicola, Uredo maydis, Fusarium graminearum and other pathogens, and after abiotic stresses such as drought. | NO
10747270 | Fusarium graminearum | Drought | Crinum graminicola | These are strongly accumulated after infection by Crinum graminicola, Uredo maydis, Fusarium graminearum and other pathogens, and after abiotic stresses such as drought. | NO
7704454 | Botrytis cinerea | Salt | Solanum lycopersicum | For instance, tomato and Arabidopsis grown under high salinity conditions displayed an increased susceptibility to infection with obligate biotrophic oomycete Phytophthora spp -REF-; -REF-, whereas tomato resistance toward infection with the necrotrophic fungus Botrytis cinerea was not affected under salt stress -REF-. | NO
7077179 | Miuraea persicae | Drought | Brassica rapa | The dramatic influence of a water deficit applied to Brassica rapa infected source plants on the transmission efficiency of two unrelated virus species Cauliflower mosaic virus; CaMV; caulimovirus and Turnip mosaic virus; TuMV; potyvirus, transmitted in a non-circulative way by Miuraea persicae, was reported -REF-. | NO
8875824 | Phytophthora cinnamomi | Cold | Quercus suber | Candidate stress-related genes were selected from the analysis of publicly available expression datasets obtained for cork oak tissues in response to abiotic drought, heat and cold, salt and biotic stress Phytophthora cinnamomi infection. | NO
8875824 | Phytophthora cinnamomi | Heat | Quercus suber | Candidate stress-related genes were selected from the analysis of publicly available expression datasets obtained for cork oak tissues in response to abiotic drought, heat and cold, salt and biotic stress Phytophthora cinnamomi infection. | NO
10578444 | Phytophthora sojae | Drought | Glycine max | Responsiveness to various abiotic stresses like cold, drought and salt, as well as biotic stress like infection with the fungal pathogen Phytophthora sojae has been demonstrated by GLRs in soybean -REF-. | NO
9875070 | Ralstonia solanacearum | Heat | Solanum lycopersicum | Besides protein-coding genes, a large number of non-coding RNAs ncRNAs have been recently identified under various stress conditions in tomato, such as 70 miRNAs induced by Phytophthora infestans infection, 790 miRNAs in pollen under heat stress conditions, and 23 lncRNAs induced after inoculated with Ralstonia solanacearum -REF-; -REF-; -REF-. | NO
9875070 | Phytophthora infestans | Heat | Solanum lycopersicum | Besides protein-coding genes, a large number of non-coding RNAs ncRNAs have been recently identified under various stress conditions in tomato, such as 70 miRNAs induced by Phytophthora infestans infection, 790 miRNAs in pollen under heat stress conditions, and 23 lncRNAs induced after inoculated with Ralstonia solanacearum -REF-; -REF-; -REF-. | NO
7704454 | Phytophthora | Salt | Solanum lycopersicum | For instance, tomato and Arabidopsis grown under high salinity conditions displayed an increased susceptibility to infection with obligate biotrophic oomycete Phytophthora spp -REF-; -REF-, whereas tomato resistance toward infection with the necrotrophic fungus Botrytis cinerea was not affected under salt stress -REF-. | NO
7077179 | Potyvirus | Drought | Brassica rapa | The dramatic influence of a water deficit applied to Brassica rapa infected source plants on the transmission efficiency of two unrelated virus species Cauliflower mosaic virus; CaMV; caulimovirus and Turnip mosaic virus; TuMV; potyvirus, transmitted in a non-circulative way by Miuraea persicae, was reported -REF-. | NO
10578444 | Phytophthora sojae | Salt | Glycine max | Responsiveness to various abiotic stresses like cold, drought and salt, as well as biotic stress like infection with the fungal pathogen Phytophthora sojae has been demonstrated by GLRs in soybean -REF-. | NO
7760370 | Aspergillus carbonarius | Drought | Sesamum indicum | Thermography has been used to detect a variety of biotic and abiotic stresses, such as Aspergillus carbonarius infection in grapes -REF-, drought stress in maize -REF-, apple scab disease -REF-, and drought stress in sesame plants -REF-. | NO
11233480 | Potyvirus | Drought | Turnip | showed that the level of SA is induced in the transgenic Arabis thaliana plants overexpressing Potyvirus Turnip mosaic virus TuMV 6K2 protein and in Nicotiana benthamiana plants infected with a viral construct overexpressing TuMV 6K2 protein under drought condition Prakash et al. | NO
7704454 | Botrytis | Drought | Solanum lycopersicum | Conversely, drought-stressed tomato are less susceptible to Botrytis infection -REF-, whereas drought stress in Arabidopsis plants resulted in an increased Botrytis growth rate in an accession-dependent manner -REF-. | NO
7077179 | Potyvirus | Drought | Cauliflower | The dramatic influence of a water deficit applied to Brassica rapa infected source plants on the transmission efficiency of two unrelated virus species Cauliflower mosaic virus; CaMV; caulimovirus and Turnip mosaic virus; TuMV; potyvirus, transmitted in a non-circulative way by Miuraea persicae, was reported -REF-. | NO
8875824 | Phytophthora cinnamomi | Drought | Quercus suber | Candidate stress-related genes were selected from the analysis of publicly available expression datasets obtained for cork oak tissues in response to abiotic drought, heat and cold, salt and biotic stress Phytophthora cinnamomi infection. | NO
