9694901 | Rhizobium | High temperature | common bean | For example, co-inoculation of a common bean with Rhizobium tropici and two strains of Paenibacillus polymyxa more effectively increased nitrogen content and promoted plant growth than inoculation with Rhizobium only especially in drought conditions -REF-. | NO
9266936 | Enterobacter cloacae | salt | wheat | PGPR reduced the MDA content under salt stress in several plants: in wheat inoculated with B. giganossus -REF-, maize inoculated with Kocuria rhizophila Y1 -REF-, and canola Brassica napus inoculated with Enterobacter cloacae HSNJ4. | NO
9919780 | Pseudomonas jessenii | drought | tomato | PGPR strains such as Pseudomonas jessenii, Anthrobacter nitroguajacolicus, and Pseudomonas synxantha inoculation of rice seedlings, Pseudomonas putida in maize, Bacillus polymyxa in tomato, Bazzania subtilis in mustard, Pseudomonas and Mesorhizobium cicero in green gram, are capable of promoting plants grown under drought stress conditions -REF-, -REF-, -REF-, -REF-. | NO
10145286 | Aspergillus aculeatus | salinity | cucumber | A growth-promoting fungus, Aspergillus aculeatus, increases salt-stress tolerance, metabolite activities, and fodder quality in perennial ryegrass -REF-, while Trichoderma harzianum reduces salt stress in cucumber -REF-, and Peyssonnelia indica reduces salinity stress in Medicago truncatula -REF-. | NO
8828500 | Epichloe gansuensis | cold | Vitis vinifera | Epichloe gansuensis increased the biosynthesis of alkaloids and unsaturated fatty acids during the seed germination of Achnatherum inebrians, thereby increasing tolerance to cold stress -REF-, while Burkholderia phytofirmans induced the upregulation of some cold stress-related genes by Vitis vinifera -REF-. | NO
9919780 | Bacillus polymyxa | drought | green gram | PGPR strains such as Pseudomonas jessenii, Anthrobacter nitroguajacolicus, and Pseudomonas synxantha inoculation of rice seedlings, Pseudomonas putida in maize, Bacillus polymyxa in tomato, Bazzania subtilis in mustard, Pseudomonas and Mesorhizobium cicero in green gram, are capable of promoting plants grown under drought stress conditions -REF-, -REF-, -REF-, -REF-. | NO
9266936 | Kocuria rhizophila | salt | wheat | PGPR reduced the MDA content under salt stress in several plants: in wheat inoculated with B. giganossus -REF-, maize inoculated with Kocuria rhizophila Y1 -REF-, and canola Brassica napus inoculated with Enterobacter cloacae HSNJ4. | NO
9919780 | Pseudomonas putida | drought | tomato | PGPR strains such as Pseudomonas jessenii, Anthrobacter nitroguajacolicus, and Pseudomonas synxantha inoculation of rice seedlings, Pseudomonas putida in maize, Bacillus polymyxa in tomato, Bazzania subtilis in mustard, Pseudomonas and Mesorhizobium cicero in green gram, are capable of promoting plants grown under drought stress conditions -REF-, -REF-, -REF-, -REF-. | NO
8001772 | Variovorax paradoxus | salinity | tomato | There is evidence that many genera of bacteria can be a PGPB, for example Bacillus amyloliquefaciens, which confers protection in rice cultivation to stress caused by salinity and drought -REF-, Kosakonia radicincitans, which affects the number of amino acids, sugar and volatile compounds improving the flavor of the tomato -REF-, or even Variovorax paradoxus, which helps reduce fertilization in drought conditions of this same vegetable -REF-. | NO
8828500 | Burkholderia phytofirmans | cold | Achnatherum inebrians | Epichloe gansuensis increased the biosynthesis of alkaloids and unsaturated fatty acids during the seed germination of Achnatherum inebrians, thereby increasing tolerance to cold stress -REF-, while Burkholderia phytofirmans induced the upregulation of some cold stress-related genes by Vitis vinifera -REF-. | NO
9866067 | Burkholderia phytofirmans | drought | tomato | Another example is the bacterium Burkholderia phytofirmans that makes the host plant resilient to multiple stressors, such as improving tolerance to cold in grapevine, heat in tomato, drought in wheat, and salt and freezing in Arabidopsis -REF-, -REF-. | NO
10433232 | Burkholderia phytofirmans | drought | maize | Burkholderia phytofirmans strain PsJN has been found to reduce salt stress in Arabidopsis -REF- and maize -REF-, as well as drought stress in wheat -REF-. | NO
9198640 | Periconia | salinity | tritordeum | For instance, Periconia macrospinosa has similar effects in its host plant to the ones here observed with Diaporthe in tritordeum and ryegrass under salinity: Festuca rubra inoculated with Periconia showed increased biomass and Na+ content, and decreased K+ content respect to uninoculated plants -REF-. | NO
9919780 | Mesorhizobium | drought | maize | PGPR strains such as Pseudomonas jessenii, Anthrobacter nitroguajacolicus, and Pseudomonas synxantha inoculation of rice seedlings, Pseudomonas putida in maize, Bacillus polymyxa in tomato, Bazzania subtilis in mustard, Pseudomonas and Mesorhizobium cicero in green gram, are capable of promoting plants grown under drought stress conditions -REF-, -REF-, -REF-, -REF-. | NO
11176432 | Azotobacter | salinity | rice | For example, inoculation with Azospirillum and Azotobacter species significantly promoted growth and enhanced salt tolerance of cherry tomato under different salinity levels -REF-, and the addition of Enterobacter cancerogenus JY65 promoted the growth of rice under NaCl stress with significantly increased plant biomass, plant height, and root length -REF-. | NO
8614786 | Bacillus thuringiensis | water-stressed | Helianthus annuus | Similarly, two drought-tolerant PGPR strains Bacillus cereus P2 and Planomicrobium chinense P1 reduced proline and malondialdehyde contents when inoculated to Helianthus annuus under water-stressed conditions -REF-, and decreases in proline and MDA contents in foliage were observed in water-stressed chickpea plants inoculated with three drought-tolerant PGPR strains, namely, Bazzania subtilis, Bacillus thuringiensis, and Bacillus megaterium -REF-. | NO
11465243 | Bacillus aryabhattai B8W22 | salt | peppers | For example, Bacillus paramycoides DT-85 and Bacillus licheniformis K11 were found to enhance drought tolerance in wheat and peppers, and Bacillus aryabhattai B8W22 and Bacillus halotolerans MSR-H4 improved salt stress tolerance in rice and wheat -REF-; -REF-; -REF-; -REF-. | NO
10433232 | Piriformospora indica | drought | barley | The root fungal endophyte Piriformospora indica induced drought tolerance in Chinese cabbage -REF- and salt tolerance in barley -REF-, by boosting the levels of antioxidants. | NO
7917748 | Bacillus | salt | maize | Pseudomonas induces drought tolerance in mung bean -REF- and salt tolerance in cotton plants -REF-.Bacillus improves drought stress tolerance in maize, promoting better oxidative and water balance -REF-. | NO
9266936 | Kocuria rhizophila | salt | Brassica napus | PGPR reduced the MDA content under salt stress in several plants: in wheat inoculated with B. giganossus -REF-, maize inoculated with Kocuria rhizophila Y1 -REF-, and canola Brassica napus inoculated with Enterobacter cloacae HSNJ4. | NO
11465243 | Bacillus aryabhattai B8W22 | drought | rice | For example, Bacillus paramycoides DT-85 and Bacillus licheniformis K11 were found to enhance drought tolerance in wheat and peppers, and Bacillus aryabhattai B8W22 and Bacillus halotolerans MSR-H4 improved salt stress tolerance in rice and wheat -REF-; -REF-; -REF-; -REF-. | NO
10823023 | Bacillus cereus | drought | Glycine max | MR D17 and Bacillus cereus NA D17, Glycine max L. Merrill treated with Pseudomonas simiae, and Triticum aestivum inoculated with Dietzia natronolimnaea and Bazzania subtilis LDR2 all showed substantial increases in dry weight in response to drought stress -REF-; -REF-; -REF-. | NO
8163885 | Acidobacteria | drought | maize | Other lineages also exhibited changes in the mutant, including increases in Chloroflexi, and decreases in Acidobacteria, which are only partially consistent with changes observed under drought as compared to control in WT maize. | NO
9712829 | Bacillus mesonae | saline conditions | Chrysanthemum | While most studies propose that the observed ABA reduction in plants upon microbial inoculation is responsible for restoration of the osmotic balance under salt stress, Bacillus licheniformis SA03 -REF-, Paenibacillus yonginensis DCY84T -REF- and Bacillus mesonae H20-5 -REF- increased the ABA contents in Chrysanthemum, Panax ginseng and tomato under saline conditions, respectively. | NO
9712829 | Paenibacillus yonginensis | saline conditions | Chrysanthemum | While most studies propose that the observed ABA reduction in plants upon microbial inoculation is responsible for restoration of the osmotic balance under salt stress, Bacillus licheniformis SA03 -REF-, Paenibacillus yonginensis DCY84T -REF- and Bacillus mesonae H20-5 -REF- increased the ABA contents in Chrysanthemum, Panax ginseng and tomato under saline conditions, respectively. | NO
9712829 | Bacillus mesonae | saline conditions | Panax ginseng | While most studies propose that the observed ABA reduction in plants upon microbial inoculation is responsible for restoration of the osmotic balance under salt stress, Bacillus licheniformis SA03 -REF-, Paenibacillus yonginensis DCY84T -REF- and Bacillus mesonae H20-5 -REF- increased the ABA contents in Chrysanthemum, Panax ginseng and tomato under saline conditions, respectively. | NO
7917748 | Trichoderma | salt | Medicago | Symbiosis with Rhizobium is reported to influence salt and drought responses in Medicago trunculata -REF-.Trichoderma is described by Zaidi et al. | NO
8614786 | Planomicrobium chinense | water-stressed | chickpea | Similarly, two drought-tolerant PGPR strains Bacillus cereus P2 and Planomicrobium chinense P1 reduced proline and malondialdehyde contents when inoculated to Helianthus annuus under water-stressed conditions -REF-, and decreases in proline and MDA contents in foliage were observed in water-stressed chickpea plants inoculated with three drought-tolerant PGPR strains, namely, Bazzania subtilis, Bacillus thuringiensis, and Bacillus megaterium -REF-. | NO
10145286 | Trichoderma harzianum | salinity | Medicago truncatula | A growth-promoting fungus, Aspergillus aculeatus, increases salt-stress tolerance, metabolite activities, and fodder quality in perennial ryegrass -REF-, while Trichoderma harzianum reduces salt stress in cucumber -REF-, and Peyssonnelia indica reduces salinity stress in Medicago truncatula -REF-. | NO
7923115 | Pseudomonas fluorescens | drought | banana | The application of Pseudomonas fluorescens on banana during thermal shock and rice during drought stress resulted in the significant upregulation of HSP70 and HSP20 genes, respectively -REF-, -REF-. | NO
10149814 | Burkholderia phytofirmans | drought | tobacco | Transcriptome analysis of Burkholderia phytofirmans PsJN colonizing potato under drought stress showed the upregulation of genes related to transcriptional regulation, homeostasis, and the detoxification of ROS -REF-.The transcriptome analysis of plant growth-promoting Paenibacillus polymyxa YC0136 showed 286 genes were up-regulated and 223 genes were down-regulated under interaction with tobacco -REF-. | NO
